run,31
inside,28
time,16
act,16
sick,15
skin,14
mind,14
eyes,13
shut,13
memory,13
stop,12
break,12
matter,11
step,11
top,11
fall,10
beneath,10
closer,10
edge,10
try,10
bottom,10
head,9
close,9
takes,9
bring,9
hurt,9
doesn,9
tried,9
sun,8
wrong,8
confusing,8
hard,8
don,7
hearing,7
little,7
real,7
tension,7
watch,7
pushes,7
picture,7
caught,7
telling,7
rest,6
fear,6
acting,6
owe,6
sacrifice,6
walked,6
played,6
feel,5
left,5
lie,5
paranoid,5
lookin,5
whirlwind,5
light,5
breathe,5
cause,5
keeping,5
meant,5
hunger,5
feed,5
greed,5
testing,5
core,5
forgotten,5
middle,5
safety,5
escape,5
care,5
watches,4
sense,4
answers,4
true,4
forfeit,4
game,4
frame,4
name,4
shame,4
cover,4
race,4
pace,4
fast,4
share,4
learned,4
crawling,4
wounds,4
heal,4
finger,4
"goodbye",4
apart,4
eventually,4
people,4
burning,4
darkness,4
holding,4
tightly,4
rises,4
pressure,3
voice,3
hold,3
anymore,3
floor,3
sound,3
life,3
broken,3
live,3
sky,3
dust,3
trust,3
truth,3
instead,3
wondering,3
lies,3
door,3
paper,3
lose,3
moon,3
dark,3
hate,3
understand,3
energy,3
enemy,3
stay,3
hiding,3
knowing,3
night,2
paranoia,2
awakes,2
laughs,2
sink,2
swim,2
stand,2
goes,2
betray,2
words,2
bliss,2
ignorance,2
aren,2
talking,2
cold,2
remembering,2
wake,2
mistake,2
slow,2
react,2
distant,2
promised,2
painted,2
memories,2
hit,2
day,2
pretend,2
wait,2
tomorrow,2
love,2
look,2
taking,2
pride,2
yo,2
pulls,2
surface,2
consuming,2
lack,2
self,2
control,2
controlling,2
walls,2
closing,2
confidence,2
convinced,2
insecure,2
wave,2
question,2
guilty,2
association,2
designed,2
rhyme,2
kept,2
fell,2
pushed,2
sake,2
falls,2
frown,2
soon,2
unwind,2
unwinds,2
street,2
somethin,1
am,1
uptight,1
stressed,1
fed,1
feels,1
underneath,1
mistakes,1
probably,1
worse,1
set,1
acts,1
add,1
watchin,1
saying,1
hear,1
anyway,1
wish,1
disappear,1
break!,1
woke,1
dream,1
static,1
feet,1
forgot,1
yesterday,1
pretending,1
taste,1
hypocrisy,1
stands,1
fine,1
line,1
past,1
isn,1
trapped,1
pleasure,1
awful,1
discomfort,1
endlessly,1
pulled,1
distracting,1
reacting,1
beside,1
own,1
reflection,1
haunting,1
graffiti,1
decorations,1
constant,1
lessons,1
taught,1
bags,1
angry,1
voices,1
filled,1
talk,1
action,1
wonder,1
explain,1
due,1
valuable,1
fly,1
pendulum,1
swings,1
count,1
clock,1
ticks,1
unreal,1
didn,1
below,1
window,1
tryin,1
did-didn,1
wasted,1
remind,1
spite,1
mockin,1
property,1
times,1
fought,1
surprised,1
wouldn,1
recognize,1
comes,1
sits,1
shining,1
assuming,1
makes,1
favors,1
rapidly,1
start,1
maybe,1
someday,1
remember,1
calm,1
strong,1
generous,1
youd,1
wear,1
welcome,1
quiet,1
a-,1
-way,1
lied,1
smile,1
fake,1
blame,1
youtesting,1
skies,1
cock,1
shock,1
defend,1
rain,1
sends,1
dripping,1
acidic,1
questions,1
forcefully,1
power,1
suggestion,1
looking,1
rust,1
rot,1
spot,1
floods,1
pours,1
rusted,1
world,1
ease,1
moving,1
screaming,1
ups,1
pollution,1
manifested,1
perpetual,1
wheels,1
round,1
sunset,1
creeps,1
lamps,1
chain-link,1
concrete,1
piece,1
drawn,1
floats,1
il,1
wind,1
gone,1
crumpled,1
perfect,1
